split,rows,accuracy,precision,recall,f1,mcc,balanced_accuracy,roc_auc,log_loss,pearson_corr,spearman_corr,mutual_information,information_coefficient
train,163706,0.6322981442341759,0.606742237555446,0.7520066460606208,0.6716093026300716,0.272522093786247,0.632298144234176,0.6814823741707146,0.6585551083569671,0.11786589743217792,0.199558787804152,0.05568133049591606,0.199558787804152
validation,27342,0.546375539463097,0.5397791441837119,0.6292882744495648,0.5811070958154615,0.09405323502173907,0.5463755394630971,0.5728952515422716,0.682169945054463,0.029142933634214184,0.051159968771173445,0.008683550161297404,0.051159968771173445
test,27094,0.5503801579685539,0.546647529218782,0.5903890160183066,0.5676769110653701,0.10108444913198418,0.5503801579685539,0.5713103764480976,0.6842426087247461,0.019292942892583025,0.052940339434702985,0.00685313836540713,0.052940339434702985
