timestamp,open,high,low,close,volume,funding_rate,best_bid_proxy,best_ask_proxy,spread_bps,log_return,best_bid,best_ask
2026-05-12T20:15:00+00:00,80735.0,80790.0,80720.0,80778.0,3.6059,-6.465166889407e-06,80699.97852474323,80709.8421258304,0.12390729256370384,0.0005324648915684729,,
2026-05-12T20:15:00+00:00,80735.0,80790.0,80720.0,80778.0,3.6059,-6.465008418777e-06,,,0.24780690885661893,0.0005324648915684729,80707.0,80709.0
2026-05-12T20:15:00+00:00,80735.0,80790.0,80720.0,80778.0,3.6059,-6.467640499793e-06,,,0.12394875958278848,0.0005324648915684729,80678.0,80679.0
2026-05-12T20:15:00+00:00,80735.0,80790.0,80720.0,80778.0,3.6059,-6.469766092814e-06,,,0.12399332915889126,0.0005324648915684729,80649.0,80650.0
2026-05-12T20:30:00+00:00,80778.0,80780.0,80608.0,80673.0,13.1693,-6.471622650488e-06,,,0.12402254729909898,-0.0013007044218187843,80630.0,80631.0
2026-05-12T20:45:00+00:00,80673.0,80688.0,80608.0,80660.0,4.4658,-6.299603477982e-06,,,0.12394722327233065,-0.0001611573581119173,80679.0,80680.0
2026-05-12T21:15:00+00:00,80698.0,80698.0,80605.0,80628.0,12.1203,-6.302673848269e-06,,,0.12401178111920633,-0.000867808095322837,80637.0,80638.0
2026-05-13T03:30:00+00:00,81075.0,81178.0,81021.0,81173.0,38.8182,-1.696058051649e-06,,,0.24620839078195783,0.001208027364502135,81231.0,81233.0
2026-05-13T03:45:00+00:00,81173.0,81288.0,81152.0,81223.0,31.8612,-7.51667074672e-07,,,0.1231049531277891,0.0006157787332192535,81231.0,81232.0
2026-05-13T03:45:00+00:00,81173.0,81288.0,81152.0,81223.0,31.8612,-7.52077777905e-07,,,0.12317318766051007,0.0006157787332192535,81186.0,81187.0
2026-05-13T04:00:00+00:00,81223.0,81245.0,81130.0,81154.0,10.0122,-7.52260086193e-07,,,0.12320961034960727,-0.0008498741096724914,81162.0,81163.0
2026-05-13T04:00:00+00:00,81223.0,81245.0,81130.0,81154.0,10.0122,-7.51976636476e-07,,,0.12316105154905813,-0.0008498741096724914,81194.0,81195.0
2026-05-13T04:15:00+00:00,81154.0,81196.0,81096.0,81186.0,27.2683,-7.51627047131e-07,,,0.12310646862939412,0.0003942343281317789,81230.0,81231.0
2026-05-13T05:00:00+00:00,81211.0,81227.0,81136.0,81138.0,31.8602,1.298934157637e-06,,,0.12329620062757767,-0.0008992972536918813,81105.0,81106.0
2026-05-13T05:00:00+00:00,81211.0,81227.0,81136.0,81138.0,31.8602,1.299158428027e-06,,,0.12331900777526345,-0.0008992972536918813,81090.0,81091.0
2026-05-13T05:15:00+00:00,81138.0,81138.0,81067.0,81103.0,23.5521,1.298828906217e-06,,,0.12329012014622209,-0.00043145691339365665,81109.0,81110.0
2026-05-13T05:30:00+00:00,81103.0,81123.0,80990.0,81014.0,34.7222,1.300409082361e-06,,,0.123431646639882,-0.001097972562298983,81016.0,81017.0
2026-05-13T05:45:00+00:00,81014.0,81071.0,80973.0,81003.0,14.1625,1.775518194661e-06,,,0.24691662860035307,-0.0001357882199633085,80998.0,81000.0
2026-05-13T06:00:00+00:00,81003.0,81081.0,80972.0,81081.0,22.5854,1.774137746513e-06,,,0.1233646473929966,0.0009624639819005275,81060.0,81061.0
2026-05-13T06:15:00+00:00,81081.0,81133.0,81019.0,81085.0,66.9645,1.773776382859e-06,,,0.36999808834321024,4.9332165815469985e-05,81080.0,81083.0
2026-05-13T06:30:00+00:00,81085.0,81104.0,81002.0,81032.0,22.1503,1.775212041773e-06,,,0.123431646639882,-0.0006538487868416431,81016.0,81017.0
2026-05-13T06:45:00+00:00,81032.0,81045.0,80929.0,80957.0,26.8596,2.172685153346e-06,,,0.1234910932049026,-0.0009259888678749018,80977.0,80978.0
