dataset,rows,up_ratio,down_ratio,always_down_accuracy,always_up_accuracy,accuracy,precision,recall,f1,mcc,balanced_accuracy,roc_auc,log_loss,pearson_corr,spearman_corr,mutual_information,information_coefficient
test,19448,0.5,0.5,0.5,0.5,0.5202077334430275,0.5181156080022126,0.5779514603044015,0.5464002722278937,0.04068771084670143,0.5202077334430275,0.5259025967801405,0.6922883144999514,0.0038693659756931977,0.030672731711550556,0.001622114192869839,0.030672731711550556
validation,19498,0.5,0.5,0.5,0.5,0.519335316442712,0.5173812816966344,0.5755462098676787,0.5449159949499854,0.038917346415052186,0.519335316442712,0.5300096532094983,0.6914919145434651,0.014841494203653,0.03755822150782114,0.002986616159984967,0.03755822150782114
