dataset,accuracy,precision,recall,f1,mcc,balanced_accuracy,roc_auc,log_loss,pearson_corr,spearman_corr,mutual_information,information_coefficient,rows,up_ratio,down_ratio,always_down_accuracy,always_up_accuracy
existing_test,0.5981470588235294,0.4912676904546823,0.24086513619251496,0.32324533161622665,0.09342393305624799,0.5378285491259353,0.5886569654980593,0.6637476308591655,0.005834782042825821,0.013921016879543047,0.01679132509921666,0.013921016879543047,34000,0.39844117647058824,0.6015588235294118,0.6015588235294118,0.39844117647058824
balanced_test,0.5476489259614675,0.5429160295193138,0.6027902856721046,0.5712886525815027,0.09588271177794952,0.5476489259614675,0.5677794902713398,0.6852513165324524,0.016767814827926695,0.046302222853508504,0.013231816877633973,0.046302222853508504,27094,0.5,0.5,0.5,0.5
balanced_validation,0.5466681296174384,0.5408712363869315,0.6175846682759125,0.5766879546463577,0.0942894702431063,0.5466681296174384,0.5731362595997851,0.682310435022769,0.03128678393496266,0.0520749678588701,0.00901162864431293,0.0520749678588701,27342,0.5,0.5,0.5,0.5
