asset,symbol,test_rows,test_accuracy,test_balanced_accuracy,test_roc_auc,validation_accuracy,validation_balanced_accuracy,validation_roc_auc,best_test_regime,best_test_regime_balanced_accuracy,best_validation_regime,best_validation_regime_balanced_accuracy
BTC,BTC_USDT,27094,0.5476489259614675,0.5476489259614675,0.5677794902713398,0.5466681296174384,0.5466681296174384,0.5731362595997851,session_europe=0,0.551973846053216,volatility_regime=low,0.5561
ETH,ETH_USDT,19788,0.530270871235092,0.530270871235092,0.5380711507207856,0.5386949924127465,0.5386949924127465,0.5472303825812729,volatility_regime=low,0.5386570048165265,volatility_regime=low,0.5446200317255876
DOGE,DOGE_USDT,19414,0.5276089420006181,0.527608942000618,0.53972605754924,0.53665568369028,0.53665568369028,0.5530288473608288,session_europe=1,0.5346593890911153,volatility_regime=medium,0.5578654188948307
BNB,BNB_USDT,19448,0.5202077334430275,0.5202077334430275,0.5259025967801405,0.519335316442712,0.519335316442712,0.5300096532094983,volatility_regime=low,0.5249089072168722,volatility_regime=medium,0.5243985863327316
XRP,XRP_USDT,19468,0.5176700226011917,0.5176700226011917,0.5309605550798983,0.5292211132832596,0.5292211132832596,0.5391201105843204,session_us=0,0.524588316436482,volatility_regime=medium,0.5339632376861988
SOL,SOL_USDT,19546,0.5159623452368771,0.5159623452368771,0.5263315227630793,0.5226759696285656,0.5226759696285656,0.5326756626311597,volatility_regime=medium,0.5204272603150406,session_europe=1,0.5273921966687956
HYPE,HYPE_USDT,17726,0.5106058896536162,0.5106058896536161,0.510887954821809,0.5130258260967633,0.5130258260967633,0.5198586204725143,volatility_regime=high,0.5166041310710825,session_europe=1,0.5152368092572818
