dataset,rows,up_ratio,down_ratio,always_down_accuracy,always_up_accuracy,accuracy,precision,recall,f1,mcc,balanced_accuracy,roc_auc,log_loss,pearson_corr,spearman_corr,mutual_information,information_coefficient
test,19788,0.5,0.5,0.5,0.5,0.530270871235092,0.5272347003728289,0.5860117242773398,0.5550715619166148,0.06092149746182863,0.530270871235092,0.5380711507207856,0.6912532734088566,0.01097195305294627,0.05291709394444232,0.003370375051251484,0.05291709394444232
validation,19770,0.5,0.5,0.5,0.5,0.5386949924127465,0.5369743837602706,0.5619625695498229,0.5491843796342066,0.07747391596862414,0.5386949924127465,0.5472303825812729,0.6898397370318435,0.021719380890632058,0.06654524049902462,0.002442930265709631,0.06654524049902462
