timestamp,action,position,price,entry_price,qty,realized_pnl_step,fee_step,realized_pnl_total,unrealized_pnl,cash_equity,total_equity
2026-05-12T20:15:00+00:00,ENTER_SHORT,-1,80778.0,80778.0,0.12379608309193098,0.0,2.9999999999999996,0.0,-0.0,9997.0,9997.0
2026-05-12T20:15:00+00:00,HOLD,-1,80778.0,80778.0,0.12379608309193098,0.0,0.0,0.0,-0.0,9997.0,9997.0
2026-05-12T20:15:00+00:00,HOLD,-1,80778.0,80778.0,0.12379608309193098,0.0,0.0,0.0,-0.0,9997.0,9997.0
2026-05-12T20:15:00+00:00,HOLD,-1,80778.0,80778.0,0.12379608309193098,0.0,0.0,0.0,-0.0,9997.0,9997.0
2026-05-12T20:30:00+00:00,HOLD,-1,80673.0,80778.0,0.12379608309193098,0.0,0.0,0.0,12.998588724652752,9997.0,10009.998588724653
2026-05-12T20:45:00+00:00,HOLD,-1,80660.0,80778.0,0.12379608309193098,0.0,0.0,0.0,14.607937804847856,9997.0,10011.607937804847
2026-05-12T21:15:00+00:00,HOLD,-1,80628.0,80778.0,0.12379608309193098,0.0,0.0,0.0,18.569412463789646,9997.0,10015.56941246379
2026-05-13T03:30:00+00:00,EXIT_SHORT,0,81173.0,0.0,0.0,-51.914122657159126,3.014669835846394,-51.914122657159126,0.0,9945.08587734284,9945.08587734284
2026-05-13T03:45:00+00:00,HOLD,0,81223.0,0.0,0.0,0.0,0.0,-51.914122657159126,0.0,9945.08587734284,9945.08587734284
2026-05-13T04:00:00+00:00,HOLD,0,81223.0,0.0,0.0,0.0,0.0,-51.914122657159126,0.0,9945.08587734284,9945.08587734284
2026-05-13T04:15:00+00:00,ENTER_SHORT,-1,81154.0,81154.0,0.12254584958650025,0.0,2.983525763202852,-51.914122657159126,-0.0,9942.102351579639,9942.102351579639
2026-05-13T04:15:00+00:00,HOLD,-1,81154.0,81154.0,0.12254584958650025,0.0,0.0,-51.914122657159126,-0.0,9942.102351579639,9942.102351579639
2026-05-13T04:30:00+00:00,EXIT_SHORT,0,81186.0,0.0,0.0,-6.906169390126891,2.9847022033588826,-58.82029204728602,0.0,9935.196182189511,9935.196182189511
