timestamp,open,high,low,close,volume,funding_rate,best_bid_proxy,best_ask_proxy,spread_bps,log_return,best_bid,best_ask
2026-05-12T20:15:00+00:00,80735.0,80790.0,80720.0,80778.0,3.6059,-6.465166889407e-06,80699.97852474323,80709.8421258304,0.12390729256370384,0.0005324648915684729,,
2026-05-12T20:15:00+00:00,80735.0,80790.0,80720.0,80778.0,3.6059,-6.465008418777e-06,,,0.24780690885661893,0.0005324648915684729,80707.0,80709.0
2026-05-12T20:15:00+00:00,80735.0,80790.0,80720.0,80778.0,3.6059,-6.467640499793e-06,,,0.12394875958278848,0.0005324648915684729,80678.0,80679.0
2026-05-12T20:15:00+00:00,80735.0,80790.0,80720.0,80778.0,3.6059,-6.469766092814e-06,,,0.12399332915889126,0.0005324648915684729,80649.0,80650.0
2026-05-12T20:30:00+00:00,80778.0,80780.0,80608.0,80673.0,13.1693,-6.471622650488e-06,,,0.12402254729909898,-0.0013007044218187843,80630.0,80631.0
2026-05-12T20:45:00+00:00,80673.0,80688.0,80608.0,80660.0,4.4658,-6.299603477982e-06,,,0.12394722327233065,-0.0001611573581119173,80679.0,80680.0
2026-05-12T21:15:00+00:00,80698.0,80698.0,80605.0,80628.0,12.1203,-6.302673848269e-06,,,0.12401178111920633,-0.000867808095322837,80637.0,80638.0
2026-05-13T03:30:00+00:00,81075.0,81178.0,81021.0,81173.0,38.8182,-1.696058051649e-06,,,0.24620839078195783,0.001208027364502135,81231.0,81233.0
2026-05-13T03:45:00+00:00,81173.0,81288.0,81152.0,81223.0,31.8612,-7.51667074672e-07,,,0.1231049531277891,0.0006157787332192535,81231.0,81232.0
2026-05-13T03:45:00+00:00,81173.0,81288.0,81152.0,81223.0,31.8612,-7.52077777905e-07,,,0.12317318766051007,0.0006157787332192535,81186.0,81187.0
2026-05-13T04:00:00+00:00,81223.0,81245.0,81130.0,81154.0,10.0122,-7.52260086193e-07,,,0.12320961034960727,-0.0008498741096724914,81162.0,81163.0
2026-05-13T04:00:00+00:00,81223.0,81245.0,81130.0,81154.0,10.0122,-7.51976636476e-07,,,0.12316105154905813,-0.0008498741096724914,81194.0,81195.0
2026-05-13T04:15:00+00:00,81154.0,81196.0,81096.0,81186.0,27.2683,-7.51627047131e-07,,,0.12310646862939412,0.0003942343281317789,81230.0,81231.0
