regime,rows,up_ratio,accuracy,precision,recall,f1,mcc,balanced_accuracy,roc_auc,log_loss
volatility_regime=medium,5816,0.4953576341127923,0.5199449793672627,0.5138672483639763,0.5723707046164527,0.541543513957307,0.04107337845469977,0.5204272603150406,0.5256602175919657,0.6934729641344989
session_europe=1,7320,0.49426229508196723,0.51775956284153,0.5114702815432742,0.5422885572139303,0.5264287630802253,0.036115104376885865,0.5180378496496448,0.5286097649694979,0.6930850354299798
session_us=0,12207,0.4993036782174162,0.5176538051937413,0.515450067174205,0.5665299425758819,0.5397842738783805,0.03561343382383372,0.5177217775706634,0.5288732825378283,0.6920667012620462
session_asia=0,13036,0.49969315741024856,0.5161092359619516,0.5142659279778393,0.5700030703101013,0.5407019076743848,0.03247346300790135,0.5161422895248758,0.5261756293641408,0.6927076993173221
volatility_regime=low,7741,0.5025190543857383,0.5163415579382509,0.5167048054919908,0.5804627249357327,0.5467312348668281,0.03230347068545482,0.5160168727249425,0.5267489364429097,0.6925978643956953
session_asia=1,6510,0.5006144393241168,0.5156682027649769,0.5146489773355445,0.5713409021172139,0.5415151955794678,0.031395223683411605,0.5155997035962876,0.5266479717006376,0.6922841929729158
session_europe=0,12226,0.5034353018158024,0.514886307868477,0.515995429877178,0.5870024370430544,0.5492133465075625,0.029083306679528825,0.5143873987224825,0.5244629319368785,0.6922562739413416
session_us=1,7339,0.5011581959395013,0.5131489303719853,0.5126842232423291,0.5769439912996194,0.5429192784955865,0.026217032283235228,0.5130008129128526,0.5220286683602227,0.6933982071465451
volatility_regime=high,5989,0.5012522958757722,0.5116046084488228,0.5118134397054311,0.5556295802798135,0.5328222328701485,0.023078265842350645,0.5114940670063279,0.5261572633086702,0.6916461574321207
