timestamp,open,high,low,close,volume,funding_rate,best_bid,best_ask,spread_bps,log_return
2026-05-15T20:30:00+00:00,79125.0,79165.0,79033.0,79046.0,23.9155,4.445838888889e-06,79041.0,79042.0,0.12651581764010045,-0.0009989189746427184
2026-05-15T20:45:00+00:00,79046.0,79084.0,78951.0,79083.0,21.19,4.445838888889e-06,79082.0,79083.0,0.12645022602977904,0.0004679723602280018
2026-05-15T20:45:00+00:00,79046.0,79084.0,78951.0,79083.0,21.19,4.445838888889e-06,79134.0,79135.0,0.12636713443567596,0.0004679723602280018
2026-05-15T20:45:00+00:00,79046.0,79084.0,78951.0,79083.0,21.19,4.445838888889e-06,79111.0,79112.0,0.12640387301466915,0.0004679723602280018
2026-05-15T21:00:00+00:00,79083.0,79157.0,79065.0,79143.0,27.8539,1.674816666667e-06,79119.0,79123.0,0.5055547831801924,0.0007584088945675728
2026-05-15T21:15:00+00:00,79143.0,79163.0,79079.0,79095.0,4.9323,1.674816666667e-06,79083.0,79084.0,0.12644862708403143,-0.0006066810939502722
2026-05-15T21:30:00+00:00,79095.0,79103.0,79037.0,79087.0,6.7888,1.674816666667e-06,79104.0,79105.0,0.12641505856177587,-0.00010114930911000772
2026-05-15T21:45:00+00:00,79087.0,79114.0,78845.0,78935.0,11.2988,1.674816666667e-06,78947.0,78954.0,0.8866314969506209,-0.0019237833577425644
2026-05-15T22:00:00+00:00,78935.0,79060.0,78935.0,79023.0,15.6973,2.487798611111e-06,79030.0,79031.0,0.1265334269680693,0.0011142203510330394
2026-05-15T22:15:00+00:00,79023.0,79048.0,78954.0,79048.0,4.7637,2.487798611111e-06,79051.0,79052.0,0.12649981341277522,0.0003163135579385077
2026-05-15T22:30:00+00:00,79048.0,79112.0,79012.0,79083.0,11.0379,2.487798611111e-06,79075.0,79078.0,0.3793794616605439,0.0004426709572638393
2026-05-15T22:45:00+00:00,79083.0,79106.0,79045.0,79070.0,2.1225,2.487798611111e-06,79062.0,79063.0,0.12648221343873517,-0.00016439776708979204
2026-05-15T23:00:00+00:00,79070.0,79108.0,79055.0,79078.0,2.8007,1.839401388889e-06,79060.0,79061.0,0.12648541306973773,0.00010117105504741224
2026-05-15T23:15:00+00:00,79078.0,79126.0,79042.0,79075.0,9.5041,1.839401388889e-06,79076.0,79077.0,0.12645982055351462,-3.793794617055733e-05
2026-05-15T23:30:00+00:00,79075.0,79095.0,79035.0,79085.0,1.5158,1.839401388889e-06,79078.0,79079.0,0.12645662221716397,0.00012645422373955083
2026-05-15T23:45:00+00:00,79085.0,79094.0,79056.0,79069.0,5.0819,1.839401388889e-06,79048.0,79049.0,0.12650461425580498,-0.0002023344342170476
2026-05-16T00:00:00+00:00,79069.0,79155.0,79028.0,79136.0,13.0616,3.420423611111e-06,79137.0,79138.0,0.12636234402148158,0.0008470023577705983
2026-05-16T00:15:00+00:00,79136.0,79164.0,79109.0,79132.0,6.2428,3.420423611111e-06,79128.0,79129.0,0.12637671635377898,-5.054717316015894e-05
