parameter,importance
min_child_samples,0.6915895907300761
subsample,0.11154339878571679
learning_rate,0.07476715268981278
subsample_freq,0.04471482598881376
colsample_bytree,0.04203928419809569
max_depth,0.01572716837035816
reg_lambda,0.005130761641783901
n_estimators,0.004973967312024141
min_split_gain,0.004924491458183955
num_leaves,0.0032098121783508474
min_child_weight,0.0013614790342398638
reg_alpha,1.806761254380501e-05
