split,rows,accuracy,precision,recall,f1,mcc,balanced_accuracy,roc_auc,log_loss,pearson_corr,spearman_corr,mutual_information,information_coefficient
train,163706,0.5938023041305756,0.5807666414205167,0.6745018508790148,0.624134481140874,0.19009692724658342,0.5938023041305756,0.6245286936057266,0.6700778787013605,0.06369213604838338,0.11454563654537352,0.028687376853906432,0.11454563654537352
validation,27342,0.554092604783849,0.5495278280088407,0.6001755540926048,0.5737361023704636,0.10864765032382791,0.554092604783849,0.5833005678268296,0.6813653003464181,0.03383973561649162,0.06609984249281928,0.014362488481411084,0.06609984249281928
test,27094,0.5487930907211929,0.5461850195640022,0.5770281243079649,0.5611831006138053,0.09774214931180197,0.5487930907211929,0.571499079433375,0.6843862263811797,0.015912101623755767,0.04530117157911649,0.008981106724829768,0.04530117157911649
