feature,gain,split
open,327.9263282236126,57.55555555555556
high,270.64616486761304,42.666666666666664
low,245.98164892196655,38.44444444444444
close,275.17701300895874,42.111111111111114
volume,665.850796735949,112.33333333333333
funding_rate,588.2810302873453,103.77777777777777
log_return,432.5584064755175,71.66666666666667
close_open_range,335.24563403262033,55.333333333333336
high_low_range,514.6926535897785,85.22222222222223
vwap,141.40591203504138,20.333333333333332
vwap_distance,709.4887000156773,119.77777777777777
rolling_return_1,85.4295580122206,12.0
realized_volatility_1,536.388826655017,88.44444444444444
parkinson_volatility_1,263.29440543055534,44.55555555555556
rolling_return_3,988.6333032283518,134.55555555555554
rolling_volatility_3,557.1918779719207,91.55555555555556
realized_volatility_3,586.0945059143835,93.0
parkinson_volatility_3,569.921326143874,94.88888888888889
rolling_return_5,872.0781715713027,130.88888888888889
rolling_volatility_5,580.1783522400591,93.88888888888889
realized_volatility_5,413.47610593504373,67.88888888888889
parkinson_volatility_5,460.5888046092457,74.11111111111111
rolling_return_15,744.9756891959244,122.33333333333333
rolling_volatility_15,511.9944621523221,79.44444444444444
realized_volatility_15,415.6823536091381,65.77777777777777
parkinson_volatility_15,422.1293252309163,74.0
rolling_return_30,749.9017533262571,123.77777777777777
rolling_volatility_30,303.0413649612003,49.44444444444444
realized_volatility_30,321.88593783312376,53.888888888888886
parkinson_volatility_30,344.0990721748935,57.888888888888886
rolling_return_60,713.0203149451149,113.55555555555556
rolling_volatility_60,336.54852502213583,55.55555555555556
realized_volatility_60,248.43824162748126,40.55555555555556
parkinson_volatility_60,423.4341299666299,69.11111111111111
funding_change,205.7553768157959,33.55555555555556
funding_zscore,785.181613082687,131.33333333333334
realized_vol_percentile,507.79287669062614,88.77777777777777
rolling_entropy,629.4007921997044,107.77777777777777
hurst_exponent,774.1992266178131,129.88888888888889
trend_strength,589.7300203194221,94.77777777777777
session_asia,43.55002782079909,8.0
session_europe,70.35000752078162,12.777777777777779
session_us,29.274641063478256,4.444444444444445
