timestamp,open,high,low,close,volume,funding_rate,best_bid,best_ask,spread_bps,log_return
2026-05-15T15:30:00+00:00,79117.0,79197.0,79041.0,79064.0,31.0215,2.518498914182e-06,79168.0,79169.0,0.12631286433366806,-0.0006701184337352563
2026-05-15T15:45:00+00:00,79064.0,79215.0,78979.0,79132.0,38.8768,-8.86630381184e-07,79127.0,79128.0,0.1263783134814066,0.0008596930919628163
2026-05-15T16:00:00+00:00,79132.0,79216.0,79092.0,79179.0,54.0175,-8.86379426678e-07,79164.0,79174.0,1.2631206659172152,0.0005937679805049656
2026-05-15T16:15:00+00:00,79179.0,79285.0,79102.0,79281.0,37.2338,-8.84383276753e-07,79325.0,79326.0,0.1260628675520482,0.0012873913175274418
2026-05-15T16:30:00+00:00,79281.0,79355.0,79212.0,79239.0,49.6464,-8.85270931772e-07,79251.0,79252.0,0.12618057702377872,-0.0005299016021042472
2026-05-15T16:45:00+00:00,79239.0,79297.0,79107.0,79253.0,61.0675,-1.6398389267e-07,79226.0,79228.0,0.2524391937092153,0.00017666506872789613
2026-05-15T17:00:00+00:00,79253.0,79327.0,79187.0,79216.0,22.5434,-1.63968041655e-07,79226.0,79227.0,0.12622039342896632,-0.0004669683114343895
2026-05-15T17:15:00+00:00,79216.0,79430.0,79186.0,79345.0,84.047,-1.63718438639e-07,79359.0,79360.0,0.12600885842274712,0.001627134395738328
2026-05-15T17:30:00+00:00,79345.0,79458.0,79342.0,79353.0,150.0052,-1.63731034117e-07,79353.0,79354.0,0.12601838608252944,0.00010082042630372112
2026-05-15T17:45:00+00:00,79353.0,79477.0,79343.0,79433.0,43.0857,-3.18938273858e-07,79461.0,79462.0,0.12584710834806792,0.0010076455955687533
2026-05-15T18:00:00+00:00,79433.0,79534.0,79395.0,79445.0,89.6535,-3.18956368195e-07,79444.0,79445.0,0.1258740378503232,0.00015105930365201037
2026-05-15T18:15:00+00:00,79445.0,79453.0,79175.0,79232.0,49.0867,-3.19734328588e-07,79251.0,79252.0,0.12618057702377872,-0.0026847007182541315
2026-05-15T18:30:00+00:00,79232.0,79286.0,79135.0,79254.0,47.3851,-3.19775412201e-07,79239.0,79240.0,0.12619968576278245,0.0002776270477053133
2026-05-15T18:45:00+00:00,79254.0,79301.0,79172.0,79270.0,9.6979,2.725980971745e-06,79257.0,79258.0,0.12617102482414913,0.00020186217928307818
2026-05-15T19:00:00+00:00,79270.0,79270.0,79013.0,79041.0,38.3535,2.732790424518e-06,79054.0,79055.0,0.12649501293411508,-0.002893041667623449
2026-05-15T19:15:00+00:00,79041.0,79128.0,79041.0,79095.0,10.5026,2.731252098969e-06,79104.0,79105.0,0.12641505856177587,0.0006829564691016457
