dataset,rows,up_ratio,down_ratio,always_down_accuracy,always_up_accuracy,accuracy,precision,recall,f1,mcc,balanced_accuracy,roc_auc,log_loss,pearson_corr,spearman_corr,mutual_information,information_coefficient
test,17726,0.5,0.5,0.5,0.5,0.5106058896536162,0.5108796296296296,0.498025499266614,0.5043706793121179,0.021218496713174,0.5106058896536161,0.510887954821809,0.6938649847319605,0.006838875486719734,0.02013986082901237,0.0,0.02013986082901237
validation,17734,0.5,0.5,0.5,0.5,0.5130258260967633,0.5131653938219537,0.5077252734859592,0.5104308390022676,0.026053116203965946,0.5130258260967633,0.5198586204725143,0.6924883923853898,0.020118282741895106,0.02650247851398182,0.009197686933394955,0.02650247851398182
