feature,mean_abs_shap
open,0.0035110004978911196
high,0.004435615471110146
low,0.006712890432319093
close,0.012156176696807885
volume,0.00512336939953726
funding_rate,0.002783113947895507
log_return,0.0025416263566251877
close_open_range,0.003473831040005706
high_low_range,0.004973932165514474
vwap,0.0036489703493422718
vwap_distance,0.005893290868741633
rolling_return_1,0.0006598684294123803
realized_volatility_1,0.0041257403236875006
parkinson_volatility_1,0.0022931433811518107
rolling_return_3,0.01637435519757858
rolling_volatility_3,0.0024620307065552046
realized_volatility_3,0.0036328894807925787
parkinson_volatility_3,0.004677087326711937
rolling_return_5,0.009990134693936526
rolling_volatility_5,0.003990112287247562
realized_volatility_5,0.005147251818987462
parkinson_volatility_5,0.0039212731273913035
rolling_return_15,0.0055861558494736
rolling_volatility_15,0.0035008956579086433
realized_volatility_15,0.002827737940101153
parkinson_volatility_15,0.0018392554069291422
rolling_return_30,0.004602580926684214
rolling_volatility_30,0.0017791286490838312
realized_volatility_30,0.002491347299663405
parkinson_volatility_30,0.0032971782409179384
rolling_return_60,0.004795480380149214
rolling_volatility_60,0.002951032228331712
realized_volatility_60,0.0026676927210531136
parkinson_volatility_60,0.002886322463111276
funding_change,0.0010173926576692192
funding_zscore,0.005465785796917647
realized_vol_percentile,0.0022733128290415533
rolling_entropy,0.003755493076887014
hurst_exponent,0.003483989976066661
trend_strength,0.002848711915839022
session_asia,0.0005376809570338672
session_europe,0.0020729709856633287
session_us,0.000261280835810337
