parameter,importance
learning_rate,0.26266914935067165
n_estimators,0.18591750852964228
subsample_freq,0.15646919861622038
min_child_weight,0.11858381472006618
num_leaves,0.08668931344437288
min_child_samples,0.0652312845928296
reg_lambda,0.03781971308304936
min_split_gain,0.037716926467692875
subsample,0.019164383774033206
max_depth,0.016241558721055392
colsample_bytree,0.011285734580269732
reg_alpha,0.0022114141200966046
