model,evaluation_scope,in_sample,rows,up,down,up_ratio,primary_metric,accuracy,precision,recall,f1,mcc,balanced_accuracy,roc_auc,log_loss,pearson_corr,spearman_corr,mutual_information,information_coefficient
fold17,fold17_validation_oos,False,319,69,250,0.21630094043887146,log_loss,0.774294670846395,0.42105263157894735,0.11594202898550725,0.18181818181818182,0.12515257913878666,0.5359710144927536,0.5800000000000001,0.5433380473321766,0.09315298044215367,0.08144407787108678,0.002185933867463463,0.08144407787108678
ensemble_13_17_equal_weight,fold17_validation_oos,False,319,69,250,0.21630094043887146,log_loss,0.7711598746081505,0.3888888888888889,0.10144927536231885,0.16091954022988506,0.10250843529566706,0.5287246376811594,0.5782028985507245,0.5645677194570998,0.10387980665921444,0.08371720688313615,0.0009060191721437238,0.08371720688313615
aggregate,fold17_validation_in_sample,True,319,69,250,0.21630094043887146,log_loss,0.7774294670846394,0.45454545454545453,0.14492753623188406,0.21978021978021978,0.157489700947253,0.548463768115942,0.5976231884057972,0.5532145472333733,0.11167922982595203,0.09520506098037698,0.05734365715100864,0.09520506098037698
aggregate,all_labeled_rows_in_sample,True,49999,19477,30522,0.3895477909558191,log_loss,0.5635312706254125,0.4624471763349981,0.7416439903475894,0.569676414331631,0.19288312194449844,0.5957581068309601,0.6324524788927324,0.6647596654429493,0.014791888979148054,0.03738233293587631,0.03040681456153016,0.03738233293587631
