dataset,rows,up_ratio,down_ratio,always_down_accuracy,always_up_accuracy,accuracy,precision,recall,f1,mcc,balanced_accuracy,roc_auc,log_loss,pearson_corr,spearman_corr,mutual_information,information_coefficient
test,19414,0.5,0.5,0.5,0.5,0.5276089420006181,0.5247186865891902,0.5860719068713299,0.5537009100199524,0.05559925944570958,0.527608942000618,0.53972605754924,0.691708343206391,0.020151504825921675,0.060553373825684056,0.006063281852686009,0.060553373825684056
validation,19424,0.5,0.5,0.5,0.5,0.53665568369028,0.5336738554672721,0.5809308072487644,0.5563005324393611,0.073600491370823,0.53665568369028,0.5530288473608288,0.6890783888570137,0.03301306587851074,0.08186426012128739,0.004368043170575264,0.08186426012128739
