regime,rows,up_ratio,accuracy,precision,recall,f1,mcc,balanced_accuracy,roc_auc,log_loss
session_europe=1,7262,0.5013770311209034,0.5348388873588543,0.5320341047503045,0.5998352101071134,0.5639039504260264,0.06991681391131475,0.5346593890911153,0.548660082807566,0.6900074474202943
volatility_regime=medium,6068,0.5069215557020436,0.5351021753460777,0.537182852143482,0.5988296488946684,0.5663335895465027,0.068995884951574,0.5342076051959973,0.5516035283512861,0.6898502594231576
session_us=0,12133,0.4960850572817935,0.5300420341218165,0.5240552435877979,0.5736833361023426,0.547747461928934,0.060986935444188345,0.5303810857809718,0.5451073644613451,0.6908900914170676
session_asia=1,6463,0.4949713755222033,0.5287018412501934,0.5219764435507038,0.5679899968740232,0.5440119760479042,0.05835733201594471,0.5290930376526979,0.5424840751399028,0.6916439769731992
volatility_regime=low,8798,0.49909070243237097,0.5286428733803137,0.5248371335504886,0.5871099977226144,0.5542298183381705,0.05789293024657172,0.5287490083915999,0.5408855045571741,0.6917216161933383
session_asia=0,12951,0.5025094587290557,0.5270635472164311,0.5260154870262193,0.594960049170252,0.5583675823779652,0.05394823307324389,0.5267210613692328,0.5382685081726083,0.6917404641982154
session_europe=0,12152,0.49917709019091505,0.5232883475971034,0.5202612438770966,0.5778107484338938,0.5475279231430134,0.047034962299619704,0.523377934190657,0.5342516414088471,0.6927247936012753
session_us=1,7281,0.5065238291443483,0.5235544568053839,0.5257465318598636,0.6062906724511931,0.5631532552575242,0.045567077105531734,0.5224606715999356,0.5299502286018909,0.6930718714250236
volatility_regime=high,4548,0.4925241864555849,0.5156112576956904,0.5073970411835266,0.5665178571428572,0.5353300991352036,0.03288295249722115,0.5163611816043575,0.5209621232050012,0.6941617461653836
